,episode_idx,round,topic,message,response,knowledge,gold
96,530,3,Southern Baptist Convention,"Oh really, I'm guessing the Southern Baptists were in favor of slavery?","i am not sure but i do know that the term "" slave "" originated in 1845 in augusta , georgia .","The word ""Southern"" in Southern Baptist Convention stems from it having been organized in 1845 at Augusta, Georgia, by Baptists in the Southern United States who split with northern Baptists over the issue of slavery, specifically whether Southern slave owners could serve as missionaries.",I think so. I guess the main issue was whether slave owners could serve as missionaries.
97,547,0,The Chronicles of Thomas Covenant,,have you read the american fantasy novel by stephen king ?,The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,One of my favorite Fantasy series is The Chronicles of Thomas Covenant
98,554,3,Jane Austen,Was it common for women to be writing during that period?,"i ' m not sure , but i do know that she wrote nineteen novels .","Her six full-length novels have rarely been out of print, although they were published anonymously and brought her moderate success and little fame during her lifetime.",Not really but times were changing. Her six full-length novels have rarely been out of print today.
99,560,1,Iceland,I'll bet it's gorgeous! Can you recommend anything specific that I should see on my trip?,it is the capital and largest city in reykjavik .,The capital and largest city is Reykjavík.,"When arriving in Iceland you can visit Reykjavik, the capital city. From there you can see many sites."
100,567,2,Garfield,Oh really? Its that old? Do they still make them?,"i ' m not sure , but i do know that they have won over 100 million records worldwide .","As of 2013, it was syndicated in roughly 2,580 newspapers and journals, and held the Guinness World Record for being the world's most widely syndicated comic strip.","As of 2013, it was syndicated in roughly 2,580 newspapers and journals, and held the Guinness World Record"
101,575,0,Osteopathic medicine in the United States,Do you know much about Osteopathic medicinal uses in the USA?,"i am not sure , but i do know that osteopathic medicine is also known as medicine .","Osteopathic doctors (D.O.s) can become fully licensed physicians (medical doctors) able to practice medicine and surgery in all 50 states and are recognized in 65 other countries, including all Canadian provinces.","Osteopathic doctors licensed from the US are also able to practice in 65 other countries, including Canada"
102,580,3,Multilingualism,Oh that makes sense! I guess that might make my a polyglot too.,"i ' m not sure , but i do know that the term "" polypolyamorous "" was coined by the 20th century .","The term ""hyperpolyglot"" was coined in 2008 by linguist Richard Hudson to describe individuals who speak–to some degree–dozens of languages.",It sounds like it. There are even hyperpolyglots who can speak a dozen or more languages.
103,599,0,Strawberry,My favorite fruit is strawberries. What can you tell me about them?,strawberries are the most widely grown species in the genus rosa .,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus ""Fragaria"", collectively known as the strawberries.","The strawberry is a garden fruit that is a widely grown hybrid species of the genus ""Fragaria"". Which is collectively known as the strawberries."
104,599,1,Strawberry,Oh that is so interesting. They taste so good. I like strawberry shortcake as well.,it originated in france in 1768 in france .,"The garden strawberry was first bred in Brittany, France, in the 1750s via a cross of ""Fragaria virginiana"" from eastern North America and ""Fragaria chiloensis"", which was brought from Chile by Amédée-François Frézier in 1714.","I do too! The garden strawberry was actually first bred in Brittany, France in 1714. It was a cross of ""Fragaria virginiana"" from eastern North America and ""Fragaria chiloensis"" which was brought from Chile."
105,613,3,Marvel Comics,I think I'd have to say I like the name Marvel a lot better! Do you know who one of the first Marvel heroes were they started making comics about?,"i don ' t know much about marvel comics , but i do know that they were created by stan lee and steve jobs .","The Marvel branding began 1961, the year that the company launched ""The Fantastic Four"" and other superhero titles created by Stan Lee, Jack Kirby, Steve Ditko, and many others.","Yeah, the Fantastic Four was one of the first big ones from the 60s. But most of the popular heroes, like Iron Man and Spider-man also showed up around that time."
106,616,3,Flash (Barry Allen),"yeah, not the best of the super powers, but would be fun to have","yes , he ' s known for his ability to detect objects .","Various other effects are also attributed to his ability to control the speed of molecular vibrations, including his ability to vibrate at speed to pass through objects.",You could get away with a lot! He can also control the speed of molecular vibrations.
107,624,0,Giant panda,I just love giant pandas - they're so beautiful. I wish I could see one in the wild.,giant pandas are the only species to eat bamboo .,"Though it belongs to the order Carnivora, the giant panda's diet is over 99% bamboo.",It is actually considered a carnivore although 99% of its diet is bamboo!
108,639,0,Big Brother (franchise),Have you ever watched Big Brother? I love that show so much. I've been watching since season 4 and season 20 is about to start this week!,that ' s awesome ! it ' s been around since the 1930 ' s .,"Big Brother is a reality game show franchise created by John de Mol Jr., originally broadcast in the Netherlands and subsequently syndicated internationally.","No, I have never seen big Brother. I have heard about it."
109,640,2,Broadway theatre,"Right, but I'm sure there are many other interesting theaters to check out as well",broadway theatre is the most popular city in the united states .,"Along with London's West End theatre, Broadway theatre is widely considered to represent the highest level of commercial theatre in the English-speaking world.","Yes, Broadway theater is represented to have the highest level of commercial theater in the world!"
110,651,1,The Story So Far (band),no i have not but i'm curious to know more about them.,they have a wide variety of songs . they formed in new glory in 1993 .,"Their name is taken from the New Found Glory song ""The Story So Far"".","Their name is actually taken from a song by New Found Glory, ""The Story So Far."" They've gone through some rough times, but they're still making great music!"
111,658,0,Beauty pageant,,have you ever watched the beauty pageant ? it ' s a quiz competition .,"A beauty pageant or beauty contest is a competition that has traditionally focused on judging and ranking the physical attributes of the contestants, although some contests have evolved to also incorporate personality traits, intelligence, talent, and answers to judges' questions as judged criteria.",Beauty pageants seems so out of date.  Hard to believe they still exist.
112,662,3,Circuit court,When were circuit courts first established?,"i am not sure but the term "" court "" refers to the concept of riding a wave .","Thus, the term ""circuit court"" is derived from the practice of having judges ride around the countryside each year on pre-set paths − circuits − to hear cases.","Quite a while, since the term circuit court is derived from the practice of judges riding the countryside on preset paths."
113,673,1,Widow,How difficult is it to get over the loss of your husband?,"i am not sure , but i do know that women aren ' t allowed to outlive women .","The tendency for women generally to outlive men can compound this, as can men in many societies marrying women younger than themselves.","It's been okay. I have a lot of help. This world is full of a lot of widows, believe it or not. I mean, just think about how often women will outlive men. Misery loves company I guess"
114,682,2,New York City,I think I heard once there was actually a 6th burough.,it ' s the capital of the united states .,"The city and its metropolitan area constitute the premier gateway for legal immigration to the United States, and as many as 800 languages are spoken in New York, making it the most linguistically diverse city in the world.",oh i never knew that. thats neat. omg there are over 800 languages that are spoken in NYC making it the most diverse city in the world .
115,697,2,George Foreman Grill,"Ah, a clever marketing then. Can you tell me anything about George Foreman's boxing career?",he was the most successful athlete in the world .,"Nicknamed ""Big George"", he is a two-time world heavyweight champion and an Olympic gold medalist.","George ""Big George"" Foreman had an impressive career.  Two time world heavyweight champion and a Gold Medal winner at the Olympics!"
116,704,4,Spider,"It would be quite scary if spiders flew, could you imagine a flying fanged venomous insect, Well anyways thanks for the cool info!","yes , they are the seventh largest arachnids in the world .",They are the largest order of arachnids and rank seventh in total species diversity among all other orders of organisms.,No problem. Spiders also rank seventh in diversity in total species among every organism. Im happy none of those can fly.
117,713,2,Tupac Shakur,That's a very good point.  Are you a fan of his music?,"i don ' t know much about him , but i do know he was a member of the black sabbath .","Both of his parents and several other people in his family were members of the Black Panther Party, whose ideals were reflected in his songs.","Yes of course. His music is heavily influenced by ideals of the Black Panther Party, because lots of his family members were Black Panthers."
118,724,0,Ravioli,One of my favorite foods is ravioli. I like to call them meat pillows.,i love them too ! they are a type of dumpling consisting of two layers of dumpling .,"Ravioli (plural form; singular: ""raviolo"") are a type of dumpling composed of a filling sealed between two layers of thin pasta dough.",My favorite food too. It is made by using two layer of thin pasta dough
119,727,3,Stephen Hawking,what is he famous for ?,he was born in 1942 and died in 1942 .,"Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.",Stephen Hawking was famous for his work in cosmology and physics.
120,729,3,Broccoli,It came from Italy?  That is so neat. I can't remember what vitamins are in it but I know it helps kill cancer cells.,"i ' m not sure , but it is regarded as the most important food in the world .","Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.","Really, I didn't know that.  I also remembered that Italians have considered broccoli to be highly valuable food since the Roman Empire."
121,750,2,Blue Ridge Parkway,It sounds beautiful!  I love the mountains!,it ' s a great place to visit . it runs through the rocky mountains .,"Its southern terminus is at U.S. 441 on the boundary between Great Smoky Mountains National Park and the Cherokee Indian Reservation in North Carolina, from which it travels north to Shenandoah National Park in Virginia.","It is a really interesting place i promise you will enjoy it,  Its southern terminus is at U.S. 441 on the boundary between Great Smoky Mountains National Park and the Cherokee Indian Reservation"
122,751,1,Dallas,Wow I didn't know that!,"i ' m not sure , but the city had a population of 947 , 890 .","According to the 2010 United States Census, the city had a population of 1,197,816.","the city has a population of 1,197,816 as of 2010"
123,761,0,Communism,What do you think about the Bolshevik Revolution?,"i do not know much about communism , but i do know that communism is the absence of social and economic ideology .","In political and social sciences, communism (from Latin """", ""common, universal"") is the philosophical, social, political and economic ideology and movement whose ultimate goal is the establishment of the communist society, which is a socioeconomic order structured upon the common ownership of the means of production and the absence of social classes, money and the state.",I really don't know much about the Bolshevik Revolution but I know Communism had a  common ownership by production with absence of social classes
124,763,1,Scooby-Doo,Me too!  And I even had a Scooby Doo lunch pail!  Who was your favorite character?,"i ' m not sure , but i do know that tom and jerry was my favorite character .","This Saturday-morning cartoon series featured four teenagers—Fred Jones, Daphne Blake, Velma Dinkley, and Norville ""Shaggy"" Rogers—and their talking brown Great Dane named Scooby-Doo, who solve mysteries involving supposedly supernatural creatures through a series of antics and missteps.","Probably Shaggy, but I like Velma and Scooby too."
125,765,1,Algeria,"Wow, that's pretty interesting. Did you study the area in school? I'd love to learn more about it because I was raised in another country.","i ' m not sure , but it ' s bordered by denmark , libya , morocco , and morocco .","Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea.","I learned alot in history classes, Algeria shares its border with Tunisia to the northeast, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea."
126,765,4,Algeria,"Amazing, I will have to plan to visit soon. Do you know if there is a large population in Algeria?","i ' m not sure , but algeria is the capital and most populous city in the country .","The capital and most populous city is Algiers, located in the far north of the country.","Yes they have a population of 40 million today,  In fact the capital and most populous city is Algiers, located in the far north of the country."
127,766,2,Parrot,"That's so many, I never would've thought there could be that many species of them.","yes , they are known for their strong curved stance , strong legs , and clawed feet .","Characteristic features of parrots include a strong, curved bill, an upright stance, strong legs, and clawed zygodactyl feet.","You can tell it's a parrot if they have a strong curved bill, they have an upright stance and clawed zygodactyl feet."
128,785,3,Honda,"Well, not surprising, they are very dependable and lose their value slower than other comparable vehicles. I guess that's why they are more expensive too!",i agree . they are the world ' s largest automobile manufacturer .,"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",Oops I meant to say Honda is. And apparently Honda is eighth largest automobile manufacturer in the world. They are dependable for sure!
129,833,1,Van Halen,"Oh I know, I love Van Halen!",do you like van halen ? they were formed in 1965 .,"Van Halen is an American hard rock band formed in Pasadena, California, in 1972.","The band was  formed in Pasadena, California, in 1972."
130,839,3,The Royal Ballet,Oh yea i bet it makes a lot of money and fame.,the royal opera has been around for over 100 years .,The company employs approximately 100 dancers and has purpose built facilities within the Royal Opera House.,well they employ 100 dancers so you can imagine how big this thing is!!!
131,846,1,Small business,"That makes sense, are there any special regulations for small businesses?","yes , they have fewer employees than two employees .","Small businesses range from fifteen employees under the Australian ""Fair Work Act 2009"", fifty employees according to the definition used by the European Union, and fewer than five thousand employees, to qualify for many U.S. Small Business Administration programs.",The US classifies small buisness as any buisness with fewer than five thousand employees.
132,861,3,Coffee,I didn't realize so many countries produced coffee. I guess initially it was quite expensive. When did it become affordable here?,"i am not sure , but i do know that it has a stimulating effect on the caffeine .",Coffee is slightly acidic and has a stimulating effect on humans because of its caffeine content.,I am not sure what year.  Coffee has a stimulating effect on humans because of the amount of caffiene in it
133,871,1,Chevrolet,"Wow, that is very antique i bet you really love that car, could you tell me more about Chevrolet","i ' m not sure , but the chevy camaro was the most popular model in 1968 .",Nova was the top model in the Chevy II lineup through 1968.,I do love it!  it was the top model in the Chevy II lineup through 1968!
134,873,2,Immortality,I wonder about growing old at a normal rate and staying that way forever!,"i am not sure , but i do know that immortality is also known as aging disease .","The absence of aging would provide humans with biological immortality, but not invulnerability to death by disease or physical trauma; although mind uploading could solve that issue if it proved possible.","he absence of aging would provide humans with biological immortality, but not invulnerability to death"
135,894,3,Marriage,Oh wow polygamy?! That's so out there to me.,"yes , polygamy is the practice of marrying for many reasons .","Polygamy (from Late Greek , ""polygamía"", ""state of marriage to many spouses"") is the practice of marrying multiple spouses.",Me too!! I could just about deal with one spouse let alone several lol.  But yes it is the practice of marrying multiple spouses.
136,906,0,Woodstock,"My parents met at Woodstock, I couldn't believe it when they told me.","woodstock is a music festival in the united states that has been around for over 400 , 000 years .","The Woodstock Music & Art Fair—informally, the Woodstock Festival or simply Woodstock— was a music festival in the United States in 1969 which attracted an audience of over 400,000.",Woodstock is a music and art fair.
137,920,0,Gone with the Wind (film),,have you ever gone to the wind ? it ' s a 1939 american epic historical romance film directed by margaret mitchell .,"Gone with the Wind is a 1939 American epic historical romance film, adapted from Margaret Mitchell's 1936 novel of the same name.",Hi. I just rewatched Gone With The Wind. That epic romance written by Margaret Mitchell in 1939. Have you seen it?
138,967,1,Brunch,I'll be over.  What are you serving?,brunch is a form of alcoholic drink that originated in the late 19th century .,"Brunch is a combination of breakfast and lunch eaten usually during the late morning to early afternoon, generally served from 11am up to 3pm and regularly has some form of alcoholic drink (most usually champagne or a cocktail) served with it.","Finger sandwiches, devilled eggs, and since it's my inlaws, there will definitely be  some form of alcoholic drink!  I'll need it!"
139,972,3,Rita Hayworth,"I'll have to wholeheartedly agree with that, it was an amazing film.","yeah , it ' s funny that she ' s known as "" the press goddess "" .","The press coined the term ""The Love Goddess"" to describe Hayworth after she had become the most glamorous screen idol of the 1940s.",some people called her the Love Goddess to describe hayworth after she had become the most glamorous screen idol of the 1940s
140,787,3,Bible,Interesting! But do Christians only read the New Testament?,"i ' m not sure , but i do know that it is based on the roman tradition of christianity .","Roman Catholics, Anglicans and Eastern Orthodox Christians stress the harmony and importance of the Bible and sacred tradition, while Protestant churches focus on the idea of ""sola scriptura"", or scripture alone.","Roman Catholics, Anglicans and Eastern Orthodox Christians all believe the bible is very important and sacred"
141,793,0,The Beatles,I like the Beatles band. Do you?,"i love them too ! they were originally called "" beatlemania "" .","In 1963 their enormous popularity first emerged as ""Beatlemania""; as the group's music grew in sophistication, led by primary songwriters Lennon and McCartney, the band were integral to pop music's evolution into an art form and to the development of the counterculture of the 1960s.","I like them, but I never really understood all of the ""Beatlemania"".  I just don't understand counterculture music."
142,231,1,Juggling,"How cool, can you tell me more about the origin?","i ' m not sure , but it ' s been around since the 17th century .","Although the etymology of the terms ""juggler"" and ""juggling"" in the sense of manipulating objects for entertainment originates as far back as the 11th century, the current sense of ""to juggle"", meaning ""to continually toss objects in the air and catch them"", originates from the late 19th century.",Sure can. It goes back to the 11th century.
143,238,1,Desert,"Lol, good point. Well, maybe I'll just take a trip there instead. Have any location recommendations?","i ' m not sure , but i do know that the process of vegetation is unprotected .",The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation.,There are deserts in Arizona. Because of the lack in vegetation the surface is unprotected. It can be really hot.
144,254,0,Denmark,My grandma is from Denmark. I would love to know more about the country.,denmark is the capital of the kingdom of denmark .,"Denmark (; , ), officially the Kingdom of Denmark, is a Nordic country and a sovereign state.","Denmark, officially the Kingdom of Denmark, is a Nordic country and a sovereign state."
145,263,1,Philip Larkin,"Not really, no. Do you know anything about him?",he wrote a lot of poetry . he wrote poetry in the 19th century .,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",Well he was an american poet. He also was a jazz critic on  The Daily Telegraph in the 60's
146,365,3,Cross country running,"That's an interesting fact, I didn't know that. It used to be an Olympic sport. During a 1924 race in a Paris heat wave, 8 runners were taken away on a stretcher. I hope that's not me.","well , the first championship was founded in 1935 .",The English championship became the first national competition in 1876 and the International Cross Country Championships was held for the first time in 1903.,"Wow, that would be really unfortunate. It must have been a grueling race. There's an English championship that was the first national competition, started in 1876!"
147,720,2,Canada,Are you going to visit any cities in Canada?,i would love to visit canada . it is the capital and largest city in canada .,"Its capital is Ottawa, and its three largest metropolitan areas are Toronto, Montreal, and Vancouver.",Yes I looked and Toronto and Montreal is great to stay so it will be between those 2 cities may go with Toronto since Drake is from there lol.
148,743,1,Hockey,"Wow, that's great!",hockey is a team sport played against two players .,Hockey is a sport in which two teams play against each other by trying to maneuver a ball or a puck into the opponent's goal using a hockey stick.,"Yep, and I'll do my best to maneuver  a puck into the opponent's goal with my hockey stick!"
149,792,3,Walmart,That is a LOT. Does Walmart have stores in other countries besides America?,"i ' m not sure , but i do know that there are a variety of countries in canada , australia and chile .","It has wholly owned operations in Argentina, Chile, Brazil, and Canada.","All over the world! Most notably Canada, Argentina, Chile, and Brazil."
