,episode_idx,round,topic,message,response,knowledge,gold
100,644,3,Jimmy Fallon,I agree for sure! He seems like an all around good guy. And I didn't know that! I might have to check those out.,you definitely should ! he was also in taxi and fever pitch .,"He left the program for the film industry, starring in films such as ""Taxi"" (2004) and ""Fever Pitch"" (2005).","You may also want to check out the films ""Taxi"" or ""Fever Pitch"" as he starred in both."
101,645,0,Carrie Underwood,I for one don't like carrie underwood,i do not like her either . she was the winner in the 4th season of american idol .,"She rose to fame as the winner of the fourth season of ""American Idol"", in 2005.",I don''t really like her either. I remember back when she won American Idol in the 2000s
102,652,1,The Flintstones,That was one of my favorite shows as a kid! It's been around for ages.,i remember watching it when it was first broadcast in 1960 .,"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",Yes it all started back in 1960.
103,659,3,American Society for the Prevention of Cruelty to Animals,Was Henry Bergh married?,"i ' m not sure , but he was born in 1813","Henry Bergh was born August 29, 1813, in New York City.","I do not know but i know he was born in  August 29, 1813, in New York City."
104,665,2,Grand Theft Auto (video game),Oh wow that is really cool that he works there.,"yeah , its a pretty cool story . it follows a gang of criminals .","The story follows a group of criminals in three fictionalised versions of US cities as they perform bank robberies, assassinations, and other crimes for their respective syndicates.",Yup he told me he works on bank robberies storyline in the game.
105,665,3,Grand Theft Auto (video game),thats super cool i loved that part.,it was almost canceled due to a production issue .,"However, it was nearly cancelled due to production issues.","Me too, however, it was nearly cancelled because they didnt have enough money to fund it."
106,667,0,Horse,,horses have been domesticated since 4000 bc .,"Humans began to domesticate horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC.",Humans domesticated horses back around 4000 BC.  I want to someday have a racehorse!
107,670,1,Rapping,"I am a huge fan, rap is my favorite music genre, and Meek Mill is my favorite rapper by far",that ' s cool . i ' m a big fan of robert williams . he was born in 1987 .,"Robert Rihmeek Williams (born May 6, 1987), known professionally as Meek Mill, is an American rapper and songwriter.","Robert Rihmeek Williams was born May 6, 1987."
108,679,3,Toyota,Interesting what else do you know about them?,the word corona is a latin word for crown,"The word """"corona"""" is Latin for ""crown"", a reference to an earlier vehicle Toyota offered called the Toyota Crown.","the carona is also another option.. its name is the latin word for ""crown"""
109,682,2,New York City,I think I heard once there was actually a 6th burough.,that is true . there are 800 languages spoken in the city .,"The city and its metropolitan area constitute the premier gateway for legal immigration to the United States, and as many as 800 languages are spoken in New York, making it the most linguistically diverse city in the world.",oh i never knew that. thats neat. omg there are over 800 languages that are spoken in NYC making it the most diverse city in the world .
110,685,2,Role-playing game,no i have never played but i have friends who played. i like warhammer 40k,"i ' ve heard of warhammer , but never played it . it ' s been around since 1987 .","""Warhammer 40,000"" was created by Rick Priestley in 1987 as the futuristic companion to ""Warhammer Fantasy Battle"", sharing many game mechanics.",I like Warhammer 40k too. I also never knew that it was made in 1987!
111,692,2,Dancing with the Stars,Really? When did that air?,"i ' m not sure when it aired , but it was one of the most popular tv programs in 2006 - 2007 .","As a result, the series became the world's most popular television program among all genres in 2006 and 2007, according to the magazine ""Television Business International"", reaching the Top 10 in 17 countries.","It looks like it debuted in the mid 2000s, because the US version was the world's most popular TV program in 2006."
112,693,3,Wedding cake,hahah oh my gosh that would be a GREAT wedding cake! I'd love it for breakfast,"well , traditionally wedding cake was made to make good luck for the couple and guests .","Traditionally, wedding cakes were made to bring good luck to all guests and the couple.","Haha, I don't know about that. Usually cakes are made to give you good luck. Anything secret ingredients might take grandmother by surprise."
113,695,3,Origins of rock and roll,There has been some great rock and roll coming out of the UK. What else can you tell me about the origins?,alan freed started playing the music style in 1951 .,"In 1951, Cleveland-based disc jockey Alan Freed began playing this music style while popularizing the term ""rock and roll"" to describe it.","I know that in 1951 Cleveland Disk-Jockey Alan Freed began playing some music using the term ""rock and roll""."
114,703,0,Titanic (1997 film),"One of my favorite movies is Titanic, the one with Leonardo Dicaprio and Kate Winslet.","i ' ve never seen it , but i know james cameron directed it .","Titanic is a 1997 American epic romance-disaster film directed, written, co-produced and co-edited by James Cameron.","Yea the movie is a classic already, with some big names like James Cameron co produced it."
115,708,2,Rain,I really love the snow as well.  It allows me to snowboard!  I always forget that fog is actually water.,fog is a low lying cloud that is influenced by water,"Fog can be considered a type of low-lying cloud and is heavily influenced by nearby bodies of water, topography, and wind conditions.",Yes it is from nearby bodies of water and is really a low flying cloud
116,709,1,Horse racing,"no i have never watch their performance but i do love watching equestrian, i love horse",horses have been domesticated since 4000 bc .,"Humans began to domesticate horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC.",Yeah I love horses. They've been domesticated since 4000 BC and more in 3000BC.
117,711,2,Chocolate cake,really? what is the sweetener?,stevia is a sugar substitute that is extracted from leaves of plant species .,"Stevia () is a sweetener and sugar substitute extracted from the leaves of the plant species ""Stevia rebaudiana"".",I use stevia.  It is extracted from the leaves of a plant called Stevia rebaudiana.  It takes some getting used to but is worth it.
118,712,2,Olympic weightlifting,Neat! I think I remember seeing the clean jerk on TV. I bet there have been many incredible records made!,there are different body weight categories for males and females,Bodyweight categories are different for male and female competitors.,Yes and the body weight categories differ for males and females
119,713,2,Tupac Shakur,That's a very good point.  Are you a fan of his music?,"i ' m not a huge fan , but i do know that his parents were black panthers .","Both of his parents and several other people in his family were members of the Black Panther Party, whose ideals were reflected in his songs.","Yes of course. His music is heavily influenced by ideals of the Black Panther Party, because lots of his family members were Black Panthers."
120,721,4,Rock music,I think that's my friend's favorite! I'll definitely check it out!,have you heard lost highway ? it came out in 2007 .,"Lost Highway is the tenth studio album by American rock band Bon Jovi, released on June 19, 2007 through Island Records.","Give the album ""Lost Highway"" a try, too!"
121,722,3,Pie,"I prefer filled pie, the Dutch kind. It's so good... And I prefer the crust sweet, not salty",have you ever had a top crust pie ? they are covered with pastry before baking,"A ""top-crust"" pie has the filling in the bottom of the dish and is covered with a pastry or other covering before baking.","I prefer the filled kind too, otherwise there is too much crust. Also, there is a kind called top crust, where the filling is only on the bottom and the crust is only on top?"
122,726,3,Blue,"Nice to know...are you a teaser? Well blue could also signify a mood ,what do yo think?",blue is an important color in decoration and art .,Blue has been an important colour in art and decoration since ancient times.,Oh yes. I know and Blue is an important colour in art and decoration since ancient times. Maybe because it lifts your mood.
123,730,0,Taylor Swift,,have you ever heard of taylor swift ? she was born in pennsylvania .,"Born and raised in Pennsylvania, Swift moved to Nashville, Tennessee at the age of 14 to pursue a career in country music.",I love Taylor Swift she started out at just 14.
124,291,4,Classical music,What do you mean by staff notion?,music notation is used to visualize music played by instruments .,"Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.",It visually demonstrates musical instruments and song by using symbols that are written or printed.
125,753,1,Justin Timberlake,"I have heard of Justin Timberlake, but I don't recall his music well. What has he sung?","his debut album , justified , was released in 2002 .","Timberlake began to adopt a more mature image as an artist with the release of his debut solo album, the R&B-focused ""Justified"" (2002), which yielded the successful singles ""Cry Me a River"" and ""Rock Your Body"", and earned his first two Grammy Awards.","His first album was called ""Justified"" which had the singles ""Cry Me a River"" and ""Rock Your Body""."
126,753,3,Justin Timberlake,Oh? How many albums has he sold? I need to familiarize myself more with mainstream pop music.,"i ' m not sure , but he has sold over 10 million albums worldwide .","Established as a solo artist worldwide, his first two albums both exceeded sales of 10 million copies, and continued producing records and collaborating with other artists.",His first two albums exceeded 10 million copies sold. He had a controversial performance performing with Janet Jackson at the Super Bowl.
127,761,3,Communism,The revolution will be inevitable if conditions worsen for the masses.,i think so too . it was a very severe economic depression in the 1930s,"The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, originating in the United States.",With how big the population in China is at the time also.  I just remember how bad the Great Depression was in the 30's
128,766,2,Parrot,"That's so many, I never would've thought there could be that many species of them.",they have a strong curved bill and strong legs .,"Characteristic features of parrots include a strong, curved bill, an upright stance, strong legs, and clawed zygodactyl feet.","You can tell it's a parrot if they have a strong curved bill, they have an upright stance and clawed zygodactyl feet."
129,770,0,Husky,I use to always want a Siberian Husky when I was younger they are so beautiful.,i love huskies ! they are great sled dogs .,"Husky is a general name for a sled-type of dog used in northern regions, differentiated from other sled-dog types by their fast pulling style.",I have one. I use him as a sled dog.
130,774,1,Skateboarding,I am not but I had no idea that it would be in the Olympics!,"yeah , the games will be held in tokyo in august 2020 .",The games are planned to be held from 24 July to 9 August 2020 in Tokyo.,"So cool right? I think Tokyo will really get an interesting experience come July 24th, 2020!"
131,775,1,Game of Thrones,Actually I have not! It just never sparked my interest. I dont even know what it is about?,it is a tv show that is based on a book series .,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".",it is an adaption of a song of ice and fire
132,781,0,Backstreet Boys,I like the music group the Backstreet Boys,i love them too ! they were formed in 1993 in orlando .,"The Backstreet Boys (often abbreviated as BSB) are an American vocal group, formed in Orlando, Florida in 1993.","Really?  I do not, but I do know they are from Orlando FL, formed in 1993"
133,815,2,Headphones,Do you know how long headphones have been around?,"i ' m not sure how long they ' ve been around , but i do know that they were developed way back in the 19th century .","The first headphones were developed in the late 19th century for use by telephone operators, to keep their hands free.",Yes! They were invented in the 19th century for telephone operators.
134,816,0,Robert De Niro,,have you ever seen robert anthony niro ? he was born in 1943 .,"Robert Anthony De Niro Jr. (; born August 17, 1943) is an American actor, producer, and director who holds both American and Italian citizenship.",I just found out that Robert De Niro has both American and Italian citizenship!
135,818,1,New England,"I have not but I live in the northeast, I have just never made it up that far!",boston is also the largest city in new england .,Boston is New England's largest city as well as the capital of Massachusetts.,"Boston is New England's largest city, and their football team is the New England Patriots, are you a Patriots fan?"
136,821,2,Human cannibalism,No! A lot of interesting stuff seems to have come out of the 80's though,that ' s true . it was filmed in amazon rainforest in colombia .,"""Cannibal Holocaust"" was filmed primarily in the Amazon rainforest of Colombia with indigenous tribes interacting with American and Italian actors.",Yeah it was mostly filmed in the Amazon rainforest and they actually used indigenous tribes as actors.
137,824,1,McDonald's,That's how I feel. Prices are high and quality is down.,i agree . they serve 69 million people daily in 100 countries . they must be doing something right .,"McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across approximately 36,900 outlets as of 2016.",It's hard to believe they are the world's largest fast food chain in revenue serving 69 million people daily! They are in over 100 countries! I guess somebody likes those nuggets! lol
138,833,1,Van Halen,"Oh I know, I love Van Halen!",the band was formed in 1972 in pasadena california .,"Van Halen is an American hard rock band formed in Pasadena, California, in 1972.","The band was  formed in Pasadena, California, in 1972."
139,843,1,Border Collie,border collies are nice.  how old is yours?,3 years old . they were specifically bred to be intelligent and obedience dogs,It was specifically bred for intelligence and obedience.,Shep is 4 and was bred for intelligence and obedience
140,850,0,Country music,,do you like country music ? it originated from the southern us in the 1920s .,Country (or country and western) is a musical genre that originated in the southern United States in the early 1920s.,Country (or country and western) is a musical genre that originated in the southern United States
141,852,0,Unicorn,,i love unicorns . they are legendary creatures .,"The unicorn is a legendary creature that has been described since antiquity as a beast with a single large, pointed, spiraling horn projecting from its forehead.",unicorns are my favorite legendary creature! their pointed horns are sooo cute!
142,867,2,Night owl (person),I never knew that! What else can you tell me about being a night owl? Why is it called that?,"i ' m not sure , but the term "" night owl "" comes from the habits of owls .",The term is derived from the primarily nocturnal habits of the owl.,"It is derived from the owl, which is primarily nocturnal."
143,887,4,Jess Greenberg,Very interesting i cant believe it !,it ' s crazy to think that she also cites hendrix as one of her inspirations !,"Greenberg also cites Jimi Hendrix as ""one of my biggest inspirations"".","Me neither! Jess credits Jimi Hendrix as being one of her biggest inspirations, but she's also a fan of AC/DC, GNR and Red Hot Chili Peppers. I love her taste. Those are all solid influences!"
144,898,0,Pepsi,,i love pepsi . it was originally created in 1893 .,"Originally created and developed in 1893 by Caleb Bradham and introduced as Brad's Drink, it was renamed as Pepsi-Cola on August 28, 1898, and then as Pepsi in 1961.",I really enjoy Pepsi. It has been around since 1893
145,906,3,Woodstock,"I bet it gets pretty crowded there, but I'm sure the music is awesome.",it does get crowded . 32 acts were performed outdoors .,"During the sometimes rainy weekend, 32 acts performed outdoors before an audience of more than 400,000 people.",It was mostly a rainy weeekend during that time.
146,916,2,BMW,"Cool, where was it founded?","i ' m not sure , but i know it ' s headquarters is in munich .","The company was founded in 1916 and has its headquarters in Munich, Bavaria.","Its headquarters in Munich, Bavaria"
147,938,0,Vancouver Grizzlies,Do you know anything about the Vancouver Grizzlies?,i know that they are a canadian basketball team .,"The Vancouver Grizzlies were a Canadian professional basketball team based in Vancouver, British Columbia.",The Grizzlies were a professional Canadian basketball team.
148,938,1,Vancouver Grizzlies,I did not even realize that Canada had professional basketball teams!,"yes , they are based out of memphis tennessee .","The Memphis Grizzlies are an American professional basketball team based in Memphis, Tennessee.","Well there used to be a Vancouver grizzlies, now they are in the US and known as the Memphis Grizzlies."
149,961,3,Starbucks,I thought so.  How long has Starbucks been around?,i ' m not sure but they were founded in 1971,"Starbucks was founded in Seattle, Washington in 1971.",It started in 1971 in Seattle :)
