,episode_idx,round,topic,message,dodeca_response,memnet_response,knowledge,gold,dodeca_label,memnet_label
100,574,0,Gossip,,do you like gossip ? gossip is gossip about personal affairs .,i ' ve never heard of it . it ' s such a personal personal personal choice .,"Gossip is idle talk or rumor, especially about the personal or private affairs of others; the act is also known as dishing or tattling.","Anything you tell me in secret , I tell others,so for your own good ,better don't tell me ! Gossip is idle talk or rumor, especially about the personal or private affairs of others",1,1
101,578,2,Philip Larkin,That book sounds interesting.What else?,he wrote two novels called jill and a girl .,"i ' m not sure , but i do know that his poems were published in 1985 .","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).","After he wrote that book of poetry. He wrote two novels.  One was titled ""Jill"" in 1946 and the other ""A Girl in Winter"" in 1947",1,1
102,603,3,Arnold Schwarzenegger,"I had an ex that aspired to be a weight lifter like him haha he wasn't any good. He won quite a few titles, didn't he?",yeah he did ! he won mr universe title seven times !,"i ' m not sure , but he won the mr . olympia contest contest contest in 2012 .","He won the Mr. Universe title at age 20 and went on to win the Mr. Olympia contest seven times, remaining a prominent presence in bodybuilding and writing many books and articles on the sport.","Yeah, he won Mr Universe at age 20, and Mr Olympia 7 times. The guy is a beast.",1,1
103,611,3,Iceland,Did you know anything more about iceland?,well it is home to about 2 - 3 % of its population,it is the capital and the capital of the world .,Reykjavík and the surrounding areas in the southwest of the country are home to over two-thirds of the population.,well another thing about Reykjavík is that the surrounding areas in the southwest of the country are home to over two-thirds of the population.,1,1
104,624,2,Giant panda,Well that's where I'll have to go then! I do hope the Chinese government protects them. I believe they almost became extinct at one point.,i ' m not sure about that but i do know that they are reliant on vulnerable species !,"i ' m not sure , but they are vulnerable to vulnerable species .",The giant panda is a conservation reliant vulnerable species.,yeah giant pandas are reliant on conservation efforts for sure,1,1
105,631,1,Jimi Hendrix,Which ones?,"purple haze , purple haze and wind cry mary !",i like jimi hendrix . he is one of my favorites .,"Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".","Hey Joe, Purple Haze and The Wind cries Mary.",1,0
106,631,4,Jimi Hendrix,How long was his music career?,"i ' m not sure , but i do know that purple haze was his most popular hit .","i ' m not sure , but i do know it was the lead lead singer .","Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",He died when he was 28 yrs old so around 15 years or so..,1,0
107,634,1,Science fiction,I love science fiction!  I am a huge Star Wars fan in particular!,star wars is one of my favorite movies . it was retitled in 1977,have you ever heard of star wars star wars ? it ' s an american epic epic epic musical film star wars,Star Wars (later retitled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas.,"What? Is it star wars Episode IV- A New Hope? My husband is a junkie, so I have heard him talk on and on",1,0
108,649,2,Paris,I had no idea Paris was that populated. Anything I shouldnt miss if I make out there?,"well , if you ' re interested in the history of the city , you might want to check out the museum of history , which is a museum about human occupation .","i ' m not sure , but it has been around since the 10th century !","The oldest traces of human occupation in Paris, discovered in 2008 near the Rue Henri-Farman in the 15th arrondissement, are human bones and evidence of an encampment of hunter-gatherers dating from about 8000 BC, during the Mesolithic period.","Well, some of the oldest traces of the human occupation in the world were found near Rue Henri-Farman, around the 15th arrondissement--some human bones and encampments of hunter-gatherers from around 8000 BC/Mesolithic Period. You should maybe check that out!",1,1
109,652,2,The Flintstones,I actually thought it was older. I remember that Fred Flintstone used to sell Malboros lol,that ' s funny . the first animated series was in 1966 .,"yes , it was originally based on the 1960 ' s .","It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.","The show first broadcasted from September 30, 1960 to April 1, 1966.",1,1
110,654,2,Game of Thrones,"I have no clue who that is. I know nothing about the different characters, and they make it sound like it's a lot to catch up on.","yes , it is a bit of a catch - up , but it is worth it . khal is a very powerful khal .",i ' ve never heard of that . i ' m not sure if they ' re known as the kingdom .,"Drogo is a powerful ""khal"", or warlord, of the Dothraki people, a tribal nation of horse riders in the steppes beyond the Free Cities.",His character is a powerful warlord in a tribal nation.,1,0
111,667,2,Horse,"OK ,when was the earliest history?","i ' m not sure , but i do know that race horses have been around since the early 1800 ' s .","i ' m not sure , but it is one of the oldest sports of all time .",It is one of the most ancient of all sports and its basic premise – to identify which of two or more horses is the fastest over a set course or distance – has remained unchanged since the earliest times.,"I'm not sure what year it started, but it is one of the most ancient of all sports, at least at its basic premise.",1,0
112,675,2,One Direction,They are good looking although I love woman.,"i love women too . my favorite song is "" x factor . ""","they ' ve been around for a long time , since they signed with simon cowell ' s record label syco records .","The group signed with Simon Cowell's record label Syco Records after forming and finishing third in the seventh series of the British televised singing competition ""The X Factor"" in 2010.",They are on Simon Cowells record label Syco.,1,0
113,689,1,Las Vegas,"That is ironic, given its desert status.","i ' m not sure if it ' s a desert , but i do know that it ranks in the top 5 most visited places in the world .",it is one of the most visited tourist destinations in the world .,"Today, Las Vegas annually ranks as one of the world's most visited tourist destinations.","desert or not, it has grown to be one of the world's most visited tourist destinations (probably behind disneyworld).",1,0
114,701,1,Shellfish,"yep, exoskeleton bearing aquatic invertabrates with cocktail sauce is great :)","i love shellfish , but most kinds aren ' t harvested","some of them are found in freshwater , but they can also be found in saltwater","Although most kinds of shellfish are harvested from saltwater environments, some kinds are found in freshwater.",Most shellfish are harvested from salt water but a few are found in freshwater,1,0
115,703,1,Titanic (1997 film),"Yes! I remember going to the movies to see it, seems like not that long ago but it was over 20 years now!","yea i remember seeing it when it came out in 1997 , james cameron was inspired by shipwreck movies .","yes , the movie titanic came out in 1962 .",Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,Its interesting that if James Cameron didnt have such an interest in ship wrecks we might not have gotten this masterpiece.,1,1
116,706,1,Overwatch (video game),I have heard it but don't know much about it.  What is it like?,its a team based online first person shooter game . you play as tracer and genji .,overwatch is a team based multiplayer online first person shooter video game developed by blizzard entertainment .,Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,It's a team based multiplayer online first-person shooter video game.,1,0
117,706,2,Overwatch (video game),Oh okay so it is kind of like Call of Duty?,sort of . overwatch can be played either as a team of six or as a hero .,overwatch is divided into two teams of six players .,"""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",Yes. The game assigns players into 2 teams of 6. Each person can select a different character that has their own unique style of play.,1,0
118,708,3,Rain,Fascinating!  Water can be quite dangerous though since it can obstruct vision when driving or doing other things.,"yes it can be very dangerous , especially for hydroelectric plants",that ' s true . it ' s also important for ecosystems and ecosystems .,"It provides suitable conditions for many types of ecosystems, as well as water for hydroelectric power plants and crop irrigation.","It can be.  But without it, there would not be suitible enough conditions for a lot of ecoystems",1,0
119,724,3,Ravioli,"Yeah, I don't think there is Italian food I don't like. Spaghetti, calzones, etc.",it is very popular in italy and copied from other countries,"yes , it is one of the most popular foods in the world .","It offers an abundance of taste, and is one of the most popular and copied in the world.",But it is somewhat good it offers an abundance taste and most popular food too,1,0
120,732,1,Computer repair technician,My focus was initially on home computers.  I've had to diversify and learn more about commercial systems and servers.,that makes sense . they were originally marketed to be affordable but now they are intended to be used for a single user .,"i ' m not sure , but i do know that they ' ve been around since the late 2000 ' s .","They were marketed to consumers as affordable and accessible computers that, for the first time, were intended for the use of a single nontechnical user.",I would think that home computers would be where its at money wise. Home computers are super affordable these days.,1,1
121,747,1,McDonald's,wow really? by who?,"i ' m not sure who it was founded by , but it was started by richard maurice mcdonald .",it was founded in 1940 by richard and maurice mcdonald .,"McDonald's is a fast food company that was founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States.","Richard and Maurice McDonald. Guess they named it after themselves haha! The first one was in San Bernardino, California.",1,0
122,760,1,Ketogenic diet,Are there things I should avoid eating?,you should avoid fats instead of carbs .,it forces the body to burn fats rather than carbohydrates .,The diet forces the body to burn fats rather than carbohydrates.,The diet forces the body to turn fats rather than carbohydrates,1,0
123,766,3,Parrot,Yeah they are really easy to distinguish from other birds.,there are a lot of species that eat animals like carrion and lories .,"i ' m not sure , but i do know that they also eat floral nectar and fruits .","A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",Most of them eat nuts and seeds but there are a few species that sometimes eat animals. I'd stay away from those!,1,0
124,776,3,Indie rock,Yes! They absolutely have a Queen vibe. I would honestly say they are one of the best groups right now!,i agree . i think their most popular song is jenny .,"yes , they are considered one of my most favorite albums .","Despite not being a single, ""Jenny Was a Friend of Mine"" is one of The Killers' most popular and critically acclaimed songs.",Jenny was a friend of mine is one of the greatest songs of all time- specifically from their live at royal albert hall.,1,0
125,785,3,Honda,"Well, not surprising, they are very dependable and lose their value slower than other comparable vehicles. I guess that's why they are more expensive too!",that makes sense . honda is also the 8th largest auto manufacturer in japan .,i agree . they are the world ' s largest automobile manufacturer .,"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",Oops I meant to say Honda is. And apparently Honda is eighth largest automobile manufacturer in the world. They are dependable for sure!,1,1
126,792,3,Walmart,That is a LOT. Does Walmart have stores in other countries besides America?,"yes , they do . they are headquartered in brazil , argentina , and brazil .","i ' m not sure , but i do know that there are a variety of countries in canada , australia and chile .","It has wholly owned operations in Argentina, Chile, Brazil, and Canada.","All over the world! Most notably Canada, Argentina, Chile, and Brazil.",1,1
127,816,2,Robert De Niro,"Oddly enough I've never seen the Godfather 2, or 3.  I know it's a legendary series though.  I need to check them all out.","i ' m not sure if you ' ve ever seen the 1974 movie , the godfather , or the 2006 movie .","i ' m not sure , but i do know he was the godfather director of the game .","The game is based on the 1974 film ""The Godfather Part II"", and is a sequel to the 2006 game ""The Godfather"", which was based on the 1972 film of the same name.",They are iconic if nothing else - they even have a video game series based on the 1974 film,1,1
128,838,2,Dentist,That's interesting. What else went on in France in those days lol,"interestingly , the philippines called themselves dentists","i ' m not sure , but i do know that the word dentistry refers to the treatment of dentistry .","Among the early Filipino to act as ""dental practitioners"" and ""curers of toothaches"" were barbers.",I don't know. I do know that Filipino barbers also performed dentistry,1,1
129,846,1,Small business,"That makes sense, are there any special regulations for small businesses?",not really . they range from 15 to 50 employees .,"yes , they have fewer employees than two employees .","Small businesses range from fifteen employees under the Australian ""Fair Work Act 2009"", fifty employees according to the definition used by the European Union, and fewer than five thousand employees, to qualify for many U.S. Small Business Administration programs.",The US classifies small buisness as any buisness with fewer than five thousand employees.,1,1
130,855,1,Deep South,Tell me more about the place you grew up,"well , back in the day , georgia was the first state to have a cotton plantation .",the history of the united states goes back to the 18th century .,The history of Georgia in the United States of America spans pre-Columbian time to the present-day U.S. state of Georgia.,"I grew up in Georgia. Back in the pre columbian days, there were many native american and spanish groups living there.",1,1
131,856,1,Star,I love watching the stars too. I prefer stars to the sun really haha,well historically the stars have been grouped together to form proper names,the stars were grouped into constellations and stars .,"Historically, the most prominent stars were grouped into constellations and asterisms, the brightest of which gained proper names.",I like how so many have been grouped into constellations and given names,1,1
132,856,2,Star,Me too. I also like how you can name stars after people. And how you never know if you're looking at a star that has already died.,most stars are invisible but most are visible from earth,"yes , and most stars are invisible telescopes .","Indeed, most are invisible from Earth even through the most powerful telescopes.",it is hard to believe most stars are invisible from earth even with the most powerful telescopes,1,1
133,887,3,Jess Greenberg,Yeah i would have to agree! Anything else i should know ?,"she did an interview with elvis presley , and she said that she was on a tour of st . john ' s garden at four years old .",she sings elvis presley presley presley ' s voice . she ' s also a singer and dancer .,"In an interview she recounted her performance of Elvis Presley's ""Can't Help Falling in Love With You"" at age four while on a trip to St. Tropez to an audience at the Hotel Byblos.",I think she was born to be a performer. She wowed audiences in St. Tropez with a performance of Can't Help Falling in Love With You at age four! Can you believe that?!,1,1
134,913,3,A Song of Ice and Fire,Wow he is a hero,"yes , he is . he is writing a sixth novel called "" the winter ' s watch "" .",he is the winds of winter and sixth novel .,"He is still writing the sixth novel, ""The Winds of Winter"".","Like the say, the main character always wins. So that will always be the hero . Also Martin  is still writing the sixth novel, ""The Winds of Winter"".",1,1
135,919,1,System of a Down,"Oh, I've never really listened to them. What's one of their songs?",their most famous song is called soad which is a heavy metal song,"i ' m not sure , but i do know they are a heavy metal band from california .","System of a Down, sometimes shortened to System and abbreviated as SOAD, is an heavy metal band from Glendale, California, formed in 1994.",System of a Down is a heavy metal band with songs like Toxicity,1,0
136,920,1,Gone with the Wind (film),I have not seen it but I have always wanted to. It's a classic I hear about so much. What do you like about the movie?,i like that the main character is played by scarlett scarlett .,"i haven ' t seen the movie , but i do know it was vivien leigh , clark gable , and olivia de havilland .","The leading roles are played by Vivien Leigh (Scarlett), Clark Gable (Rhett), Leslie Howard (Ashley), and Olivia de Havilland (Melanie).",I guess the actors. Scarlet played by Vivien Leigh and Clark Gable who played Rhett Butler.,1,0
137,978,1,Divorce,"Divorce is roughest on the kids. I am glad that states have made it easier to get divorced, with many allowing ""no-fault"" dissolutions.","i ' m glad too . in the us , it ' s a lot harder to get a divorce than it is in other countries .",that ' s true . divorce laws vary considerably around the world .,"Divorce laws vary considerably around the world, but in most countries divorce requires the sanction of a court or other authority in a legal process, which may involve issues of alimony (spousal support), child custody, child visitation / access, parenting time, child support, distribution of property, and division of debt.",The laws do seem to vary around the world but most countries do require the sanction of the courts to help resolve a lot of the issues that come up.,1,0
138,742,2,Cheese,"I've seen mozzarella cheese made before, and it is really cool to see how the coagulation takes place.",do you know that protein and fat form milk ?,"yes , it is made from milk and milk .","It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep.","It comprises proteins and fat from milk, usually the milk of cows,",1,0
139,975,1,Reading (process),That's right. I was thinking of picking up the second mistborn book and finishing the series.,that is a good choice . the series is based on fantasy novels .,"yes , it ' s a romantic novel written by stephen king .",Mistborn is a series of epic fantasy novels written by American author Brandon Sanderson and published by Tor Books.,I haven't read Mistborn myself but heard they are fantasy novels written by Brandon Sanderson.,1,1
140,939,3,Big Brother (franchise),That's unexpected! So what language do they shoot the show in?,i am not sure but i do know that there are over 387 different languages on the show,"i ' m not sure , but the show has been around since 2011 .",", there have been 387 seasons of ""Big Brother"" in over 54 franchise countries and regions.",well it is taped in whatever language the country the show is being aired in.  as mentioned earlier it is in 54 different countries,1,1
141,941,4,Steak,"Well, what type of steak do you like best?  Sirloin?  T-bone?",i love t bone steak ! it ' s the most popular steak in the us !,"i don ' t know much about it , but i do know that it ' s a cut of chicken that ' s supposed to be cut from hamburgers .",The top sirloin is the most prized of these and is specifically marked for sale under that name.,I also love a good sirloin and I understand it is quite popular and prized among steaks.,1,1
142,834,4,Colorado,"No, I haven't. What are the states?","colorado is located in wyoming , nebraska , kansas , and new mexico .",i don ' t know much about mexico but i do know that it is bordered to the south and the south .,"Colorado is bordered by Wyoming to the north, Nebraska to the northeast, Kansas to the east, Oklahoma to the southeast, New Mexico to the south, Utah to the west, and touches Arizona to the southwest at the Four Corners.","Arizona, Utah, Colorado and New Mexico make the four corners.",1,1
143,852,1,Unicorn,really?  I don't know much about them? Are they the ones that look like horses but with a horn?,yes they are ! they are usually depicted as white horses with long hooves and horns .,"i ' m not sure , but i do know that they are often used in european folklore .","In European folklore, the unicorn is often depicted as a white horse-like or goat-like animal with a long horn and cloven hooves (sometimes a goat's beard).","oh yea baby. they're usually depicted as white horses, have a long horn and cloven hooves",1,0
144,861,3,Coffee,I didn't realize so many countries produced coffee. I guess initially it was quite expensive. When did it become affordable here?,coffee is very acidic . it has stimulating effects on humans,"i am not sure , but i do know that it has a stimulating effect on the caffeine .",Coffee is slightly acidic and has a stimulating effect on humans because of its caffeine content.,I am not sure what year.  Coffee has a stimulating effect on humans because of the amount of caffiene in it,1,1
145,793,1,The Beatles,"Yes, I wouldn't say I would be part of the Beatlemania, but I like quite a few of their songs.","i ' m not a big fan of their music , either . it started in 1963 when they broke up .",it ' s hard to believe that beatlemania began in 1963 .,"The phenomenon began in 1963 and continued past the group's break-up in 1970, despite the band ceasing public performances in 1966.",I find it interesting that people were such big fans of the Beatles that Beatlemania continued to apart of pop culture even after they stopped performing in 1966.,1,0
146,797,1,Internet access,Yes I do. I actually have WiFi.,that ' s great ! do you use msn or dial up ?,i ' ve never heard of dial - up . i ' m sorry to hear that .,MSN Dial-up is an Internet service provider operated by Microsoft in the United States and formerly also in several other countries.,Yeah I do not think I could go back to the MSN Dial-up internet days.,1,0
147,167,1,Game of Thrones,Who is you favorite character? I like Tyrion the best.,i love tyrion too . it ' s an adaptation by george r r martin,"i love the song "" a song of ice and fire "" by george r . r . martin .","It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".","Its hard to say, I think George R.R. Martin did such a good job writing all of them in his Game of Thrones novels",1,1
148,189,0,Grey's Anatomy,,have you ever read the title of the game of thrones ?,have you ever heard of grey ? it ' s a classic anatomy textbook first published in 1858 .,"The title is a play on ""Gray's Anatomy"", a classic human anatomy textbook first published in 1858 in London and written by Henry Gray.",Grey's Anatomy is a show based on a classic textbook of the same name,1,1
149,0,0,Gardening,"I like Gardening, even when I've only been doing it for a short time.",i love gardening as well . it is considered to be relaxing .,"i love gardening , it is considered a relaxing activity .",Gardening is considered by many people to be a relaxing activity.,"I live on a farm, we garden all year long, it is very relaxing.",0,0
150,1,2,Bob Ross,yes I like to watch that some times,"it aired in the us , canada and latin america",he was born on pbs and aired on pbs in 1994 .,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",The show aired from 1983 to 1994 on PBS.,0,1
151,4,1,Finance,Yes that's exactly the area of interest for me.,"well , there are three categories of finance : public , corporate , and personal .","there are three categories of finance , corporate finance , and personal finance .","Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.","Great! There are three categories. The public, corporate and personal finance. Do you have a preference of which area you might like best?",0,0
152,9,2,Penguin Random House,Okay that makes sense. I have heard of them separately then.,they also employ more than 10000 people worldwide .,"i ' ve never heard of that , but i do know that it ' s been around since the early 2000 ' s .","Penguin Random House employs more than 10,000 people globally.","Yeah they may have formed in America, but they employ people from across the globe through publishing, and the digital book trade.",0,1
153,13,0,Tennis,i love to play tennis,tennis is such a fun racket sport . do you play singles or doubles ?,tennis is a racket sport played individually against a single opponent,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,Same! Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams,0,1
154,16,0,Red hair,"Hello my friend! i had a tough time growing up, im a redhead! bu tnow its getting better!",red hair only occurs in 1 - 2 percent of the population .,red hair occurs naturally in 1 - 2 % of the population .,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,I love red hair!  In fact I just dyed mine a shade of red!  I heard that red hair occurs naturally in only 1 to 2 % of the human population,0,0
155,19,1,Donald Trump,"I tried to give him the benefit of the doubt when he was elected. Hate is a strong word. I do not support a lot of the decisions he's made while in office, though. But maybe you can give me a balanced view. What do you know about him?","i know a lot about him . he was born in queens , new york . he grew up there .","i ' m not sure , but i know it ' s based on the university of massachusetts .",Trump was born and grew up in the New York City borough of Queens and earned an economics degree from the Wharton School of the University of Pennsylvania.,"He grew up in Queens but then went to Pennsylvania to get an economics degree from Wharton, so he's at least well educated.",0,1
156,28,1,The Beatles,"The Beatles are a classic, when did they first form?","the beatles formed in 1960 in liverpool , england .","i ' m not sure , but they formed in liverpool in 1960 .",The Beatles were an English rock band formed in Liverpool in 1960.,I believe they formed in Liverpool in 1960.,0,0
157,30,1,Comic book,Sounds interesting! What are some of the most popular comic books?,"i ' m not sure , but comic books have been around since the 18th century in japan .",they were first popularized in the united states during the 1930s .,"Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.","Super hero comic books are very popular, though comic books originated in Japan in the 18th century.",0,0
158,30,4,Comic book,"Nice, I'll have to check them out one day! What else can you tell me about comic books?","there are so many elements to them like balloons , speech bubbles , text and characters",i don ' t know much about dc comics but i do know that elements of comics include speech bubbles and characters .,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.","Balloons, text lines, characters, and panels are the key elements of comic books.",0,0
159,31,3,Top Chef,"That's the hope at least, right? I feel like most of the time the way it plays out is that kids just want to get in the way in the kitchen.","yes that is true , there have been numerous international versions of top chef that have been produced as well .","that is true , there are many international versions that have been shown as "" top chef "" .","Numerous international adaptations of ""Top Chef"" have also been produced.","Yep, I know that numerous international adaptations of ""Top Chef"" have also been produced, Thats pretty crazy, just goes to show you how popular it is overseas.",0,0
160,36,2,Yoga,Oh yes I have heard this as well. I have been learning to meditate recently. :),you should try it . it can reduce stress and anxiety .,"yes it is . it can also include meditation , anxiety , and anxiety .","Meditation may be used to reduce stress, anxiety, depression, and pain.",Meditation is a great way to reduce stress and anxiety. Meditative practices also originated in Asia.,0,1
161,41,2,The New York Times,"Nice, It has been very successful, who owns NYT?","i ' m not sure , but as of 2016 it was the largest print and digital circulation in the us .",i ' m not sure but it ' s the 8th most popular newspaper in the us .,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",I'm not sure but is has the largest combined print and digital circulation.,0,1
162,49,3,Bible,This is true.  I personally do not believe in denominations.  Christ established His church.  All others are corruptions created by man.,today there is more than 2 billion christians in the world .,there are more than 2 billion people worldwide worldwide .,Today there are more than two billion Christians worldwide.,"Denominations or not, nowadays there is a total of more than two billion Christians worldwide.",0,0
163,51,2,Sephora,O wow i had no idea they were so big!,"yes , they first launched back in 1969 in paris .","they have been around for a long time , since 1854 .","Sephora first launched in Paris on August 14, 1969.","Yes, first launched in Paris on August 14, 1969 and have since spread around the world.",0,1
164,57,2,Horror film,"Purge is scary about one night a year when people can commit any crime including murder without consequences, very scary!",i can ' t believe scream was released in 1996 !,have you ever watched scream ? it was directed by wes craven .,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,"That would be a pretty scary world to live in. Do you think it's better than the film ""Scream""? I know it's a bit dated, coming out in 1996, but it's still a great movie.",0,0
165,61,3,Madonna (entertainer),Do you know where Madonna grew up?,"i do not , but i do know that she was born in michigan and raised there .",she was born in 1968 and raised in new york city .,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.","She was Born and raised in the state of Michigan, She moved to New York City in 1978 when she first wanted to get a career in dancing.",0,1
166,64,1,Cheese,I love cheese but not a huge milk fan.,there are hundreds of different kinds of cheese produced in different countries .,"yes , there are many different types of cheese .",Hundreds of types of cheese from various countries are produced.,"Me too. Despite this, I can't deny the fact that cheese is popular among others and hundred of types of cheese are produced from multiple countries.",0,0
167,70,0,Purple,,purple is my favorite color . it ' s between red and blue .,purple is my favorite color . it is intermediate between blue and red .,Purple is a color intermediate between blue and red.,Do you think people with red/green color-blindness can see purple? Since it is a mix of red and blue.,0,1
168,82,1,Law school,Because I did not want to go through all the schooling?  Do you know how long law school is?,"i ' m not sure , but most law school only offers a three year program .","i ' m not sure , but i do know that it ' s an accelerated jd program .","Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.","Most law schools only offer a 3 year program, but some schools offer an Accelerated JD program",0,1
169,83,1,History of vegetarianism,I think so too,i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,it ' s hard to believe that vegetarianism was originally connected to the idea of nonviolence toward animals .,"In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",In both cases I believe it was based on the idea of nonviolence towards animals and it was even promoted by religious groups.,0,0
170,91,1,Pancake,YOU MEAN AUNT JAMAMA'S  PANKAKES,"yes , i love american pancakes , they are like scotch pancakes","yes , they are similar to scotch pancakes , which are different types of pancakes .",American pancakes are similar to Scotch pancakes or drop scones.,"Well don't know about that , American pancakes are similar to Scotch pancakes",0,0
171,111,0,"Nashville, Tennessee",,have you ever been to nashville ? it ' s the capital of tennessee .,nashville is the capital and most populous city of tennessee .,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,"Nashville, Tennessee is a place ive never been too but its a very populous city",0,0
172,114,1,Snorkeling,I've never been - was it hard to do or scary?,it took me a while to get used to it . it is very popular at tropical resorts .,"i ' m not sure , but i do know that it is a recreational activity .","Snorkeling is a popular recreational activity, particularly at tropical resort locations.","No, it's not scary at all. But you do have to be in a tropical location to really enjoy it.",0,0
173,117,0,IPhone,,have you ever had an iphone ? the first generation was released in june of 2007 .,"the first generation iphone was released on june 29 , 2007 .","The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",What kind of phone do you use? I love my iPhone. I got the first gen version back in 2007 and have stuck with iPhone ever since.,0,0
174,121,1,Sleep,"I love to sleep, I wish I had more time to do so though!",during sleep the body is in a state of restoring the immune system and nervous system .,sleep is a key component in the skeletal system .,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.","Sleep is very important. While sleeping the body systems are in an anabolic state which helps to restore the immune, nervous, skeletal, and muscular systems.",0,1
175,136,2,Internet,Interesting. Who's responsible for creating the Internet in the first place? That's assuming that it was just one person lol. I could be wrong,i am not sure who created it but the internet has a wide range of info resources,"i ' m not sure , but it ' s a wide range of resources , services , and services .","The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.","it takes with it  a large amount of information resources and services, such as the inter-linked hypertext documents, file sharing and other similar resource",0,0
176,148,1,Tea,I tried a creme brulee one but it was too sweet. Do you know of any other flavors?,"i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .",tea is the most widely consumed drink in the world .,"After water, it is the most widely consumed drink in the world.",I like the Chai Spice Black Tea. I consume it more than water almost.,0,1
177,151,1,Telenovela,"Hmm interesting, I don't think I've seen any before.",telenovelas are usually produced in latin american,"it is similar to soap opera , latin america and latin america .","A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.",A telenovela is popular tv in latin america,0,1
178,152,3,Sex change,What type of issues require that? That would be very scary,well the term is also applied to changing gender roles,"im not sure but i do know that the term "" gender "" can be used to describe the role of a child ' s gender .","The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",Not much information on that but i did find that the term may also be applied ot the broader process of changing gender,0,1
179,163,3,Husky,"yes, that does make alot of sense",they are also considered to be the fastest breed of dogs .,"yes , they are the fastest dogs to cross - breed .",They are an ever-changing cross-breed of the fastest dogs.,The husky I have is very fast. They are known to be the fastest breed of dogs.,0,1
180,177,2,Chevrolet Corvette,"i never knew thye were named after a warship, interesting","yeah , it was originally designed for a show show in 1953 .","i ' m not sure , but it ' s been around since 1953 .","Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.","Yeah, they were originally designed as a show car for the 1953 Motorama display, but so many people liked them that GM started making them available to the public.",0,0
181,226,0,The Flintstones,Who is your favorite Flinstones character?,"i don ' t really have a favorite character , but i do know that it ' s an animated sitcom .",i love the flintstones ! it was created by hanna - barbera .,The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC.,I think it is DIno! The Flintstones is an American animated sitcom,0,0
